,name,country,city,address,hotel.name,review,rating,impression,expectation,bert_impression
10,Hampton Inn Lexington Medical Center,US,Lexington,1953 Nicholasville Rd,Hampton Inn Lexington Medical Center,This is a new Hampton Inn and is well decorated. The color scheme gives a feeling of luxury and is very restful. The beds are comfortable and the black out curtains keep the room dark for a good nights sleep. The entrance is a little difficult to find so look closely for the sign. The staff was very friendly and... More,5,positive,positive,positive
11,Motel 6 Santa Barbara - Carpinteria North,US,Carpinteria,4200 Via Real,Motel 6 Santa Barbara - Carpinteria North,"I stayed here for three nights while I explored nearby Santa Barbara. This place is ok for a night or two, if you can live the excess noise coming from the freeway, then three nights is just about doable",3,neutral,neutral,positive
12,Comfort Inn,US,Redwood City,1818 El Camino Real,Comfort Inn,"Completely accommodating hotel! I booked a reservation last minute day of, used points to offset the cost and even called the front desk to ask for a little help. They were completely kind and welcoming, especially accommodating while under construction. Thank you!",5,positive,positive,positive
13,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"The water is very hot and there's no cold water at all. It's awful.. The food is not good. The staff is friendly and very nice.. More upscale items should be offered for the price of the room at 200. A night! Snacks, toiletries, menus and food and drinks offered. Promote your business.",3,neutral,negative,negative
14,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Great staff and rooms. Housekeeping was always spot on--we never saw them come in, and it was in perfect order when we came back to our rooms. The hotel is close to everything, French Quarter, museums, business district, etc. And we got a GREAT price for our stay. It's an excellent value--highly recommend to anyone visiting New Orleans!",5,positive,positive,positive
15,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"This Hotel, formerly a prestigious bank, may be attractive for history buffs, but is an expensive and horrible place to stay when you visit New Orleans. The rooms are SMALL, unattractive, with terrible old bedding, virtually without windows or amenities. Parking was 38/day, and it took 35 min. to get your vehicle. Almost no lobby or sitting area, the restaurant was small, understaffed, with a severely ",2,negative,negative,negative
16,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,Very accommodating staff. Competitive pricing for downtown N.O. convenient location. Comfortable room. Good food in restaurant. Broken exercise equipment. 'fitness club' is a bit of a misnomer. We can recommend this to anyone else for a good place to stay with great location for many attractions.,4,positive,positive,positive
17,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Room was much larger than I expected, and water and fridge were offered for my room - had everything I needed. Nice basic breakfast was included. Room was very clean and everyone here was friendly! Would stay again. We're thrilled to hear you had a great New Orleans experience at the Whitney Hotel. Thank you for mentioning the breakfast and the cleanliness of the rooms. Our staff strives for excellence",4,positive,positive,positive
18,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"The Whitney Hotel is ideally located to see most of the sights of New Orleans. I would say it is a place to lay your head but I found the restaurant poor in terms of food choice and quality. The room phone did not work, no room service offered and the room can be noisy as it overlooks a major road. Overall, I think we can do better on my next trip to New Orleans",3,neutral,negative,negative
19,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"This is an old hotel in very good location. A 5 minute walk to Bourbon Street and Harrahs' Casino. A 15 min walk will get you to Caffe DuMonde and the French Market. Although old, the hotel is well kept and the staff is efficient. I found the room a little bit small, but confortable.Thank you for your recent stay at the Whitney Hotel in New Orleans! We're glad to hear you enjoyed your visit and look fo",4,positive,positive,positive
20,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"The hotel is historic and yet modern. Full of history. The hotel is conveniently located in the heart of New Orleans. Blocks from the French Quater and the Riverfront. The staff was very courtis and very knowledgeable. Always there to help get you where you want to be. Just one block to Mothers one of the local best restaurants. Totally enjoyed my stay On behalf of the staff at the Whitney Hotel, thank",5,positive,positive,positive
21,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"This hotel aptly named the Whitney Hotel as it was the location of the Whitney Bank.Several of the features of the bank era are there to be seen such as the strong room doors and related features.This hotel is in a very good location very close to local transportation - buses and streetcars.A short walk takes you to many places to eat, drink and shop.Less than ten minutes walk to Canal Street, Bourbon ",4,positive,positive,positive
22,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,Such a beautiful hotel! LOVED the lobby and the bank vault. It was so unique and interesting. Our suite was so beautiful and very comfortable. We would like to thank the staff for taking such good care of us.Your knowledge of your wonderful city was so helpful. The Russells Thank you for your review of the Whitney Hotel in New Orleans! We're so happy to hear you enjoyed your stay and we appreciate the ,5,positive,positive,positive
23,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"We recently had the opportunity to travel to New Orleans and we chose to stay at the Whitney based on user reviews, location, and price. The room was very nice and was really clean. The hotel was well decorated. The one big call out I have is that the restaurant accepts room charges and cash only! As a rule, I won't support a business that doesn't accept credit cards for payment. Valet parking or a pai",4,positive,positive,positive
24,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Our room was beautiful, the location was wonderful just a couple of blocks from shopping, Bourbon Street and an easy walk to Jackson Square. There are great restaurants in walking distance as well as the restaurant in the hotel. Dinner in the vault was fabulous.The service was outstanding.Even one of the maintenance men held doors for me and gave great advice on where to eat. Loved it and can't wait to",5,positive,positive,positive
25,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Excellent service and location was perfect. Have been in New Orleans numerous times so we didnt need to be in the heart of French Quarter which could be very noisy. dont get me wrong, love a good time let the good times roll but when I want to sleep I prefer quite.. Staff very helpful , great new restaurants in warehouse district....Thank you for the great review and for your recent visit to the Whitne",4,positive,positive,positive
26,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"I will never consider staying at the Whitney after my epic night of uncomfortable room temperatures and a night's sleep on the hardest, cheapest mattress I've every experienced. The hotel staff was nonexistent and are complaints were only listened to AFTER check-out.Thank you for your review. I'm sorry to hear that we did not exceed your expectations but we'll use this information to provide better ser",1,negative,positive,positive
27,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"The hotel was alright, this was my second stay at this hotel after my first experience I recieved a comp night to get a better experience. My second experience was about the same, rude staff, bugs in room, room wasn't cleaned when asked and many other things to add on this. For the price of the nights I did pay for, it would be been better to go to another hotel with more comfortable beds. Thank you fo",2,negative,negative,negative
28,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Nice locationGood staff Th rooms need to be Aired and to ne cleaned.Th breakfast is a shameTh location is goodWe dont recommanded this hotel as for th quality or th rooms as for the quality of th breakfast server into plastic platesDear Guest,Thank you very much for visiting our hotel and for sharing the details of your stay. Our culture is to ensure that we create the best experience for each and ever",2,negative,negative,positive
29,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Recently stayed at the Whitney Hotel in New Orleans. The hotel was an exceptional experience from the old 1910 building to the amazing queen suite. We would make any future visits to New Orleans included a stay at the Whitney Hotel. Front desk staff helpful, friendly and very informational about locations in the city. Parking was somewhat priced out there but the valet service took good care of our tru",5,positive,positive,positive
30,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Unfortunately, it is not a place to have confidence. One of my children left a small amount of money in the car. When we left the hotel we realized they had stolen it. Although it was little amount of money, the fact is equally repudiable.Thank you for your feedback. We appreciate your recent visit and will use the information you provided here to enable additional training and exceed future expectatio",1,negative,negative,negative
31,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"My husband and I stayed for 4 nights with my 13 month old son and our experience was disappointing from the moment we checked in. When we made our reservation on the phone, we requested a crib for my son and were told it would be no problem. When we arrived we were shocked to see a pack-n-play rather than a crib and they didn't even provide us with a sheet. We called the front desk and demanded a crib.",2,negative,negative,negative
32,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"What a wonderful weekend spent with my husband. Staff, Food, Rooms, everything was great. So welcoming and professional from arriving to departure. Location is perfect. Not to busy, but many thing within walking distance to explore in the big city. Defiantly will be back soon... Wouldn't stay anywhere else! Thank you for your recent visit to the Whitney Hotel. We're so happy to hear you enjoyed your st",5,positive,positive,positive
33,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"This was a beautiful hotel. All the things that made it a bank are still there, reminding you of the lovely banks that we used to have. The fact that part of the building is still an operating bank was a surprise. Everything was lovely. I did not eat in the restaurant because the rest of my party wanted to go other places , but we should have eaten there. We went to Mother's we had the worst meal that ",5,positive,positive,positive
34,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"The staff was courteous, friendly and helpful. However, the hotel itself seemed to be a hodgepodge of various updates through the years. It seems staff has been trained to blame it on Katrina but when you stay its clear that the owner has not sufficiently maintained the facility through the years and when maintenance was performed, done so at the cheapest cost no matter how unsightly. the hotel has a l",1,negative,negative,positive
35,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"My wife and I recently spent 5 nights at the Whitney Hotel. We chose it for its mid-way location between the WWII and the Ogden Art Museums, and the French Quarter. It is also only a block from the Charles St. trolley to the Garden District.Our 6th floor king-bed room was a little small by king standards, but didn't feel cramped. The only smallness inconvenience was a lack of night stand and light on o",4,positive,positive,positive
36,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"We booked this hotel as it offered close proximity to the the centre of New Orleans and it offered disabled facilities in 'superior' rooms. We arrived late because we took the Amtrak from New York 36hrs we arrived at 21.30, very tired. Expecting a decent night sleep we were told they did not have a double room with a disabled friendly shower but a single room on the 7th Floor(they had elevators) with t",1,negative,negative,negative
37,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Special birthday trip for 5 days. We narrowed our choices on Hotels.com to finally choose The Whitney. We stay at many 'upscale' hotels in our business travels, and wanted an 'experience'. Location - perfect, a couple of blocks to the French Quarter, 3 or 4 to the Riverwalk, great food nearby. Starting with Earl (the Pearl) checking us in, and Michelle (long brown hair) made us feel comfortable far bey",5,positive,positive,positive
38,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"The Hotel is within easy distance of both the French Quarter and the Warehouse district. This is a historic building built as a bank and office use, so rooms may be smaller than a normal hotel, but the building has character. The staff was 5 star by being attentive, friendly, and helpful. My room was very clean and comfortable. I will stay again.Thomas W, Thank you so much for the wonderful review of t",4,positive,positive,positive
39,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"We have stayed at The Whitney before, but had no idea that the hotel no longer had a bar nor restaurant. This is a sad commentary, since we enjoyed the hotel last year, and were looking forward to another visit. The staff was again cooperative, understanding, and friendly. But, the sink had only a trickle for water flow, and the engineer could not fix the problem. And, we were there for 5 ngts. I'm sor",2,negative,negative,neutral
40,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"I had a great stay at the hotel, walking distance from everything good in new orleans, rooms are nice, building has charming status due to the old bank stuff, i would recommend the whitney to anyone! You if you look for a place to stay in new orleans go there!Thank you for your wonderful review on the Whitney Hotel in New Orleans. We're so happy to hear you enjoyed your visit and look forward to seeing",5,positive,positive,positive
41,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,We enjoyed this lovely hotel. It was nice to go to breakfast and look up and see the beautiful architectural details. The bank vault of course was extraordinary. We learned that the hotel is still attached to a working bank. The restaurant was lovely and the bacon egg and cheese croissant was fresh and delicious. The room was nice enough and clean enough. We would definitely stay here again for a quick,4,positive,positive,positive
42,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,The Whitney is about five blocks or so from Canal and on to the bars and restaurants of the French Quarter. At night it is a quiet walk past hotels and office buildings once you cross canal returning home. The staff is very friendly in that way New Orleans is. There is a small restaurant for breakfast and coffee if it is raining outside. Rooms are nice and quiet. Would definitely stay again.Thank you f,4,positive,positive,positive
43,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"For my mother's 90th birthday, she wanted to go to New Orleans (has not been since 1959) and we had a fabulous time. My thanks to the Whitney for making her feel so special, absolutely everyone at the hotel was gracious, helpful, polite and fun. The hotel was completely booked, but our spacious rooms/bathrooms were cleaned promptly and it was not noisy. I highly recommend the Whitney Hotel for the perf",5,positive,positive,positive
44,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"When my original room was not ready, staff upgraded me to suite, which was great, with one exception. Given the historic nature of the property, electrical outlets were not readily accessible. The location was great for the purpose of my trip. Everywhere I needed to go was w/in a block.Thank you for your recent visit and the great feedback you've left here at TripAdvisor. We look forward to seeing you ",4,positive,positive,positive
45,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,The bar closed at 10pm which was poorOnly 3 days into our 8 day trip we were told the bar and Resturant were closed leaving us with no facilities in the hotel We should have been told that when we were booking and would not have booked it as it's nice to eat and drink in the hotel after a long days walking around town Thank you for your candid feedback. I'm sorry to hear that we did not exceed your exp,3,neutral,negative,negative
46,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"I thoroughly enjoyed my stay at this Hotel. The room was clean, quiet for sleeping and comfortable. Very convenient for transportation and access to popular locations. I did not use the restaurant facilities, I think there could be a little more promotion for the dining room. Thank you for your recent stay at the Whitney Hotel in New Orleans! We're glad to hear you enjoyed your visit and look forward t",4,positive,positive,positive
47,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"I was in town for the Crescent City Classic. The Whitney Hotel is easy walking distance to the start of the 10K race. Also close to the French Quarter and the WWII museum. I like the Central Business District and this location is very central for my purposes, with St. Charles street car close by to the Quarter and the Garden District. Very good value compared to comparable hotels. I have stayed here tw",5,positive,positive,positive
48,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Hotel is older but quite nice. Staff are friendly and helpful. Rooms are well appointed and quite modern. There is a bit of traffic noise from the street (I was on the 3rd floor) but this is to be expected downtown in a major city. (plus I was there the day the St. Patrick's day parade occurred, and its route took it right by the corner of the hotel). I didn't use the restaurant but it looked very dece",4,positive,positive,positive
49,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,Stayed for one night. Hotel is in a great location to walk to Superdome for Saints game and have dinner at the great Restaurants in the warehouse district. Hotel is clean and quiet. Loved how the lobby and check in area still have the large safe and bank windows throughout. Thank you for your recent visit to the Whitney Hotel in New Orleans. We're happy to hear you enjoyed your visit and appreciate the,5,positive,positive,positive
50,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"We stayed 1 night. while the hotel was beautiful and the staff were pleasant,I inquired about extra charges to my card, no one knew why. I then emailed twice and called again (international as I was on my honeymoon) with no response!!! How frustrating to know so much was charged without a reason why or enteraction from staff!I am very sorry to hear about what has happened during and after your stay wit",2,negative,negative,negative
51,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Stay at The Whitney to capture a sense of the history of New Orleans with its actual bank vault door decor, and location that is right in the heart of New Orleans great for business but close to the French Quarter for fun. It's clean, comfortable, has amenities, and is a great location, friendly too.Thank you for your recent stay at the Whitney Hotel in New Orleans! We're glad to hear you enjoyed your ",5,positive,positive,positive
52,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Overall, good trip. Clean and friendly! It was mid summer when we stayed and we prefer ice cold room. Couldn't get it cool enough. Bed was comfy. Pillows a bit too thick for us. Cold water at faucet was warm to hot. Shower temp was perfectly hot. Would recommend more mirrors in room. A safe would be good addition and fridge. Enjoyed continental breakfast. Would stay at this beautiful hotel again. Thank",5,positive,positive,positive
53,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,Our recent stay at the Whitney was overwhelmingly nice. The hotel is housed in the historic old Whitney Bank Building. The reception desk was once the teller desk and the old vault is located in the lobby. Our suite was very large with two rooms. The master bedroom was quite spacious and was separated from the sitting area by French doors. The sitting area had a sofa bed it's own television. The bathro,5,positive,positive,positive
54,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"I have stayed at the Whitney many times for business, back when it was a Wyndham property and now that it is a New Orleans Collection Hotel. Staff is friendly and efficient, rooms are clean. At some point soon they will need to address carpet as it is getting dated, but OK now. Bar downstairs is good as is restaurant. We ate breakfast a couple of times at Cafe on the Square around the corner and had go",5,positive,positive,positive
55,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"We thoroughly enjoyed our stay at The Whitney. The beds were very comfortable. The location is superb. It is walking distance to everything we did, French Quarter, Bourbon Street, shopping, Harrah's, etc. We will definitely stay here during our next trip to New Orleans. The staff was rather gracious as well. Loved it!!!!Thank you for taking the time to write a review regarding your recent stay at the W",5,positive,positive,positive
56,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"Super friendly and accommodating staff. Staff bent over backwards to assure we had a great stay. Always ice cold water, news papers and vacation information in the lobby. Great restaurant recommendations. We ubered from the airport 33-55 . You do not need a car in the city. Street car on one side of hotel. 2 blocks to French quarter and bourbon street. Near casino and ww2 museum. Beds super comfortable",5,positive,positive,positive
57,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"We enjoyed the hotel. Location was great walking distance to many sites. Paying to park was a surprise, but we decided that was better than staying further away and worrying about parking.Hotel was absolutely beautiful. Very nicely maintained. No old hotel odor. Staff was friendly and accommodating. The room was nice, very comfortable kept very clean by friendly housekeeping staff. Lovely city view. Tr",4,positive,positive,positive
58,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"on the edge of the french quarter, easy access, courteous service, efficient, clean, valet parking, personalized welcome, correct price. Not for a romantic stay but perfectly fine for business or family stayThank you for your review of the Whitney Hotel in New Orleans! We're so happy to hear you enjoyed your stay and we appreciate the feedback. If there is anything we can do to make your next visit to ",5,positive,positive,positive
59,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"I found this hotel online, and it came highly recommended. It was convenient to everywhere in the city I wanted to go, though its location on Poydras street did mean the mornings were a little noisier than I expected due to the traffic, but you can't fault them for that. I had occasional difficulty with my room key working but still always got into my room. I didn't realize at booking that the hotel do",5,positive,positive,positive
60,The Whitney Hotel,US,New Orleans,610 Poydras St,The Whitney Hotel,"We had a wonderful stay at the Whitney hotel. The front desk staff headed by Patrick were the best that I have ever experienced. They were extremely helpful in making reservations at great restaurants, guided us through the craziness of Mardi Gras and were always friendly and helpful in every way. The rates were a good value and the location was ideal.We're so happy to hear you enjoyed your visit to th",5,positive,positive,positive
61,Estes Park Condos,US,Estes Park,1400 David Dr,Estes Park Condos,"Spontaneous weekend getaway. Estes Park Condos did not disappoint. This place is even more magical than the website makes it seem! Staff was very accommodating with our late check in and check out. We stayed at Antlers Point 5, private hot tub, grill, fireplace, HBO, dvd player, full bathroom and full kitchen. Very cozy and welcoming. Perfect for a couple.... More",5,positive,positive,positive
62,Estes Park Condos,US,Estes Park,1400 David Dr,Estes Park Condos,"I and my wife stayed here with two other couples. we had a loft, a queen bed, Another bedroom and a queen sleeper sofa in the living room. All areas had TV's. The condo overlooked the big Thompson river. you could here the river running at night. Very clean and everything is very nice .. all services worked.. and just... More",5,positive,positive,positive
63,Estes Park Condos,US,Estes Park,1400 David Dr,Estes Park Condos,"We rented a premium condo 2 bedroom hot tub to spend a weekend with our friends that were visiting us in Colorado from another country. The place was nice and clean,very spacious for the four of us. One bedroom was in the main floor with a full bathroom.( not inside the room). The second room was in the second floor... More",5,positive,positive,positive
64,Blue Mountain Inn Suites,US,Rangely,37 Park St,Blue Mountain Inn Suites,"We only stayed one night but were pleased that the room was clean and quite. Bed was comfortable and the breakfast was good. The staff we encountered were all friendly. Had a good small town friendly atmosphere.Thank you so much for your review! We're glad that we could provide you with a pleasant stay! If you're ever in the neighborhood again, we hope we'll see you!",4,positive,positive,positive
65,Hampton Inn-longmont,US,Longmont,850 S Main St,Hampton Inn-longmont,"Hampton Inn was, as usual, clean, staff was friendly. Breakfast was adequate. We had stayed at this facility approximately 3 years ago and found that it hasn't changed. Still a nice place to visit. Staff very willing to make any change to keep customer happy.",4,positive,positive,positive
66,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"Stayed 2 nights. Nice bug room, very quiet room! Was on top floor. They have a happy hour from 5:30pm to 7 pm. Lots of food more like dinner than hor'd'ors. Drinks food, free popcorn and fountain drinks. NICE HOT breakfast with lots of...More",5,positive,positive,positive
67,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"Our family of five spent two nights here on our way back to MO from UT. Beds were comfortable, bathroom was clean, breakfast and dinner menu were great. Pool and hot tub were clean and well maintained. Staff was friendly and attentive. This location is...More",5,positive,positive,positive
68,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,We stayed one what was a shame. When we checked in we spoke to Ian on desk this man was so helpful. We had free dinner. Three drinks free. Also free soft drinks. The hotel is so good. The spa and pool. Excellent. Such a...More,5,positive,positive,positive
69,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"We stayed in a king bed suite here while settling on our home in Colorado Springs. It was nice to have a spacious living area (with sofa bed for our son) and comfortable, quiet bedroom. In addition the couch and chairs in the living area...More",4,positive,positive,positive
70,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"Another great trip at the Drury Inn. Clean and nice rooms and common areas. All of the female staff were very nice and friendly. Indoor pool and hot tub. Kickback is a nice feature. Great snacks/food in the evening: hot dogs, nachos, chicken fingers, salad,...More",5,positive,positive,positive
71,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"Clean, spacious, and quiet rooms. Very comfortable accommodations. Breakfast was good for a free buffet style breakfast. I will stay here again. I will also recommend this hotel to friends. This is in a good location to take in the sites around the area.",5,positive,positive,positive
72,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"The lobby is large and beautifully decorated. The desk staff friendly. The room is well appointed with a great bed and pillows. The bathroom is great really loved the soft towels and the walk into shower with wall dispensers for soap, shampoo and conditioner (no...More",5,positive,positive,positive
73,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,Drury Inn Suites near the AF Academy is a GEM!! The staff is SUPER friendly! So are the rooms!The Breakfast is SUPER great variety - and so is the EVENING FEAST! and INCLUSIVE LIQUIDS!!!Considering the price for Your room includes al of the...More,5,positive,positive,positive
74,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"Our organization arranged for our out-of-town Board members to stay at Drury Inn Suites for a Board Meeting, which we also held in one of the Drury Conference Rooms. The management and staff of the Drury Inn provided excellent service and accommodations, going above...More",5,positive,positive,positive
75,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,Our stay was great at the Drury Inn. Stayed on the 7th floor in a king deluxe. The staff were all very nice and courteous. The breakfast was good as well. Also offered free food and drinks from 530pm-7pm. The Hearty Chili was very good.,5,positive,positive,positive
76,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"We stayed at the Drury Inn and Suites Colorado Springs for one night. We specifically chose the Drury Inn chain due to a good experience at the Drury Inn Denver Tech Center last summer. We were not disappointed. The hotel was clean, modern, and an...More",5,positive,positive,positive
77,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"We were introduced to Drury Hotels by an acquaintance. Now we stay everywhere that has one on our trip route. Colorado Springs is a good example of the best of the best. It is beyond clean the staff are helpful, friendly, and polite. The Manager...More",5,positive,positive,positive
78,Drury Inn Suites Colorado Springs Near The Air Force Academy,US,Colorado Springs,1170 Interquest Pkwy,Drury Inn Suites Colorado Springs Near The Air Force Academy,"First, this was the first time I have ever stayed at a Drury Inn, and I am here to say it was absolutely the best choice I made for this trip. It was within 7 minutes of where I needed to be, it is clean,...More",5,positive,positive,positive
